rank,title,year,topic_cluster,problem_claimed,mechanism_introduced,hidden_assumptions,variables_fixed,failure_modes_ignored,what_makes_less_novel,what_leaves_open,url
11,FAST: Efficient Action Tokenization for Vision-Language-Action Models,2025,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,https://doi.org/10.15607/rss.2025.xxi.012
12,RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,2023,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,http://arxiv.org/abs/2307.15818
13,Discrete Policy: Learning Disentangled Action Space for Multi-Task Robotic Manipulation,2025,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,https://doi.org/10.1109/icra55743.2025.11127630
14,Keypoint Action Tokens Enable In-Context Imitation Learning in Robotics,2024,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,http://arxiv.org/abs/2403.19578
15,$π_0$: A Vision-Language-Action Flow Model for General Robot Control,2024,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,http://arxiv.org/abs/2410.24164
16,Large language models for chemistry robotics,2023,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,https://doi.org/10.1007/s10514-023-10136-2
17,Language Conditioned Multi-Finger Dexterous Manipulation Enabled by Physical Compliance and Switching of Controllers,2024,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,http://arxiv.org/abs/2410.14022
18,Survey of Vision-Language-Action Models for Embodied Manipulation,2025,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,http://arxiv.org/abs/2508.15201
19,QUAR-VLA: Vision-Language-Action Model for Quadruped Robots,2023,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,http://arxiv.org/abs/2312.14457
20,"TinyVLA: Towards Fast, Data-Efficient Vision-Language-Action Models for Robotic Manipulation",2024,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,http://arxiv.org/abs/2409.12514
21,"Scaling Cross-Embodied Learning: One Policy for Manipulation, Navigation, Locomotion and Aviation",2024,robot reinforcement learning,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations.,http://arxiv.org/abs/2408.11812
22,Octo: An Open-Source Generalist Robot Policy,2024,robot foundation model scaling,"Build generalist robot policies that transfer across tasks, scenes, and embodiments.",Large-scale pretrained transformer or multimodal policy trained on heterogeneous robot data.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes broad robot-data scaling and generalist policy training prior art.,How action-space mismatch and many-to-one tokenization change the learned physical semantics.,http://arxiv.org/abs/2405.12213
23,NaVILA: Legged Robot Vision-Language-Action Model for Navigation,2024,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,http://arxiv.org/abs/2412.04453
24,Diffusion policy: Visuomotor policy learning via action diffusion,2024,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,https://doi.org/10.1177/02783649241273668
25,Learning Insertion Primitives with Discrete-Continuous Hybrid Action Space for Robotic Assembly Tasks,2022,robot reinforcement learning,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations.,https://doi.org/10.1109/icra46639.2022.9811973
26,3D-VLA: A 3D Vision-Language-Action Generative World Model,2024,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,http://arxiv.org/abs/2403.09631
27,Open X-Embodiment: Robotic Learning Datasets and RT-X Models,2023,robot foundation model scaling,"Build generalist robot policies that transfer across tasks, scenes, and embodiments.",Large-scale pretrained transformer or multimodal policy trained on heterogeneous robot data.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes broad robot-data scaling and generalist policy training prior art.,How action-space mismatch and many-to-one tokenization change the learned physical semantics.,http://arxiv.org/abs/2310.08864
28,Active Haptic Perception in Robots: A Review,2019,robot world models and planning,Predict future physical states or plan actions under learned dynamics.,"Latent dynamics, video prediction, model-predictive control, or planning over learned representations.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes learned physical prediction and planning over latent states prior art.,Whether action aliases in the latent interface make plans non-identifiable.,https://doi.org/10.3389/fnbot.2019.00053
29,Continuous control actions learning and adaptation for robotic manipulation through reinforcement learning,2022,robot reinforcement learning,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations.,https://doi.org/10.1007/s10514-022-10034-z
30,Skill Transformer: A Monolithic Policy for Mobile Manipulation,2023,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,https://doi.org/10.1109/iccv51070.2023.00996
31,ChatGPT for Robotics: Design Principles and Model Abilities,2024,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,https://doi.org/10.1109/access.2024.3387941
32,Discrete Policy: Learning Disentangled Action Space for Multi-Task Robotic Manipulation,2024,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,http://arxiv.org/abs/2409.18707
33,X-Nav: Learning End-to-End Cross-Embodiment Navigation for Mobile Robots,2025,robot reinforcement learning,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations.,https://doi.org/10.1109/lra.2025.3632119
34,Language Reasoning in Vision-Language-Action Model for Robotic Grasping,2024,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,https://doi.org/10.1109/cac63892.2024.10865585
35,Demonstrating OK-Robot: What Really Matters in Integrating Open-Knowledge Models for Robotics,2024,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,https://doi.org/10.15607/rss.2024.xx.091
36,Vision Language Action Models in Robotic Manipulation: A Systematic Review,2025,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,http://arxiv.org/abs/2507.10672
37,HAMSTER: Hierarchical Action Models For Open-World Robot Manipulation,2025,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,http://arxiv.org/abs/2502.05485
38,RoboCat: A Self-Improving Generalist Agent for Robotic Manipulation,2023,robot foundation model scaling,"Build generalist robot policies that transfer across tasks, scenes, and embodiments.",Large-scale pretrained transformer or multimodal policy trained on heterogeneous robot data.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes broad robot-data scaling and generalist policy training prior art.,How action-space mismatch and many-to-one tokenization change the learned physical semantics.,http://arxiv.org/abs/2306.11706
